Escola,Função,Nome
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Pedagógico,Estudante Ângela Isabel Maria Xavier Barros (2.º ano Engenharia Informática)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Pedagógico,Estudante Rodrigo Palhão Safara (2.º ano Análise de Dados em Gestão da Informação)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Pedagógico,Estudante Inês Guerra Santos (1.º ano Animação, Modelação e Desenho Digital)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente Licenciatura em Engenharia Informática: Paulo Jorge Pereira Carmelo
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Infraestruturas Cloud, Redes e Datacenter: Tiago Filipe Godinho Mota
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Programação em Web, Dispositivos e Aplicações Móveis: Paulo Pinheiro
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Cibersegurança: João Paulo Macedo Camões
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Desenvolvimento de Videojogos e Aplicações Multimédia: Alexandra Cristina Salomé Lourenço Ferreira
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Animacão, Modelação e Desenho Digital: Tiago Filipe Godinho Mota
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Assessoria e Gestão Administrativa: Paulo Pinheiro
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP em Marketing e Vendas: Filipe Alexandre Martins Cruz
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Docente CTesP de Análise de Dados em Gestão da Informação: Paulo Jorge Pereira Carmelo
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Funcionária: Sara Durão
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante Licenciatura em Engenharia Informática: Luís Manuel Nunes Ferreira (3.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Análise de Dados em Gestão da Informação: Rodrigo Palhão Safara (2.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Animação, Modelação e Desenho Digital: Inês Guerra Santos (1.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Assessoria e Gestão Administrativa: Margarida Lareiro da Rita (1.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Cibersegurança: Vladislav Lesan (1.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Desenvolvimento de Videojogos e Aplicações Multimédia: Brian Miguel Guerreiro Almeida (1.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Infraestruturas Cloud, Redes e Datacenter: Stelvia Kianguebene Victor dos Santos (2.º ano)
Escola Superior de Tecnologia e Gestão Jean Piaget Almada,Conselho Consultivo,Estudante CTesP em Programação em Web, Dispositivos e Aplicações Móveis: António Vieru (1.º ano)
ISEIT — Ensino Universitário em Almada,Diretor da Escola,Nuno Martins
ISEIT — Ensino Universitário em Almada,Diretora Adjunta,Joana Serpa
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutor Nuno Martins (por inerência do cargo de Diretor)
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutor André Silva
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutor Fábio Saraiva Flôres
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutor Fernando António Rodrigues Vieira
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutora Priscila Marconcin
ISEIT — Ensino Universitário em Almada,Conselho Científico,Doutora Renata Willig
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Mestre Pedro Guimarães (por inerência do cargo de Diretor Adjunto)
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Doutor Fábio Saraiva Flôres
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Doutor Fernando António Rodrigues Vieira
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Doutora Priscila Marconcin
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Prof. Doutor André Silva
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Estudante Andressa de Sales Campos (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Estudante Diogo Miguel (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Estudante Iris Fernandes (1.º CE em Educação Física e Desporto)
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Estudante Lúcia de Sousa (2.º CE em Psicologia Social e das Organizações)
ISEIT — Ensino Universitário em Almada,Conselho Pedagógico,Estudante Vitor António (1.º CE em Gestão)
ISEIT — Ensino Universitário em Viseu,Diretora da Escola,Doutora Teresa Santos Luís Panteleitchouk, PhD
